text,label_manual
Pelayanannya cukup lambat.,Negatif
Bahannya cukup original.,Positif
Pelayanannya terlalu halus.,Positif
Paketnya benar-benar oke.,Positif
Barang ini terlalu jelek.,Negatif
Barang ini benar-benar lambat.,Negatif
Kualitasnya benar-benar cepat.,Positif
Produknya benar-benar lambat.,Negatif
Bahannya terlalu jelek.,Negatif
Produknya agak jelek.,Negatif
Kualitasnya cukup penyok.,Negatif
Bahannya cukup jelek.,Negatif
Pengirimannya benar-benar halus.,Positif
Barang ini terlalu oke.,Positif
Bahannya agak mengecewakan.,Negatif
Paketnya lumayan rapi.,Positif
Pengirimannya benar-benar original.,Positif
Pengirimannya sangat penyok.,Negatif
Bahannya sangat original.,Positif
Pengirimannya lumayan cepat.,Positif
Paketnya agak bagus.,Positif
Barang ini benar-benar rusak.,Negatif
Pelayanannya terlalu mengecewakan.,Negatif
Paketnya benar-benar bagus.,Positif
Bahannya lumayan rapi.,Positif
Produknya lumayan mengecewakan.,Negatif
Kualitasnya lumayan rapi.,Positif
Kualitasnya benar-benar keren.,Positif
Bahannya cukup lambat.,Negatif
Barang ini lumayan original.,Positif
Barang ini benar-benar rusak.,Negatif
Pengirimannya agak jelek.,Negatif
Paketnya terlalu original.,Positif
Pelayanannya cukup rapi.,Positif
Pelayanannya sangat mantap.,Positif
Paketnya terlalu mengecewakan.,Negatif
Pengirimannya lumayan jelek.,Negatif
Kualitasnya sangat cepat.,Positif
Bahannya lumayan rapi.,Positif
Barang ini benar-benar memuaskan.,Positif
Pengirimannya agak bagus.,Positif
Barang ini agak mengecewakan.,Negatif
Kualitasnya agak bagus.,Positif
Bahannya agak penyok.,Negatif
Produknya cukup jelek.,Negatif
Pengirimannya terlalu original.,Positif
Paketnya sangat oke.,Positif
Pengirimannya lumayan oke.,Positif
Kualitasnya sangat memuaskan.,Positif
Pengirimannya benar-benar mantap.,Positif
Pelayanannya sangat cepat.,Positif
Kualitasnya agak penyok.,Negatif
Barang ini terlalu halus.,Positif
Pengirimannya sangat original.,Positif
Pelayanannya cukup lambat.,Negatif
Pengirimannya cukup rusak.,Negatif
Barang ini benar-benar memuaskan.,Positif
Produknya agak memuaskan.,Positif
Barang ini benar-benar memuaskan.,Positif
Produknya sangat lambat.,Negatif
Kualitasnya lumayan rapi.,Positif
Pengirimannya sangat rusak.,Negatif
Pelayanannya benar-benar mantap.,Positif
Pelayanannya sangat oke.,Positif
Produknya lumayan halus.,Positif
Bahannya sangat buruk.,Negatif
Barang ini terlalu original.,Positif
Produknya cukup cepat.,Positif
Produknya agak rapi.,Positif
Produknya sangat bagus.,Positif
Pengirimannya sangat mantap.,Positif
Pelayanannya cukup mantap.,Positif
Bahannya terlalu buruk.,Negatif
Barang ini terlalu keren.,Positif
Produknya sangat cepat.,Positif
Bahannya lumayan bagus.,Positif
Paketnya lumayan oke.,Positif
Pengirimannya cukup lambat.,Negatif
Pengirimannya terlalu keren.,Positif
Paketnya terlalu halus.,Positif
Pengirimannya terlalu jelek.,Negatif
Pelayanannya cukup jelek.,Negatif
Bahannya benar-benar jelek.,Negatif
Produknya cukup cepat.,Positif
Barang ini lumayan rusak.,Negatif
Pengirimannya cukup kasar.,Negatif
Pelayanannya lumayan jelek.,Negatif
Pengirimannya agak cepat.,Positif
Bahannya benar-benar keren.,Positif
Kualitasnya terlalu bagus.,Positif
Kualitasnya cukup palsu.,Negatif
Produknya agak kasar.,Negatif
Pengirimannya benar-benar cepat.,Positif
Kualitasnya sangat memuaskan.,Positif
Paketnya cukup rusak.,Negatif
Pelayanannya lumayan mengecewakan.,Negatif
Pelayanannya terlalu buruk.,Negatif
Produknya sangat palsu.,Negatif
Pelayanannya agak rapi.,Positif
Pengirimannya agak palsu.,Negatif
Kualitasnya agak buruk.,Negatif
Pelayanannya cukup buruk.,Negatif
Paketnya benar-benar penyok.,Negatif
Kualitasnya lumayan original.,Positif
Pelayanannya benar-benar palsu.,Negatif
Pengirimannya terlalu lambat.,Negatif
Bahannya agak lambat.,Negatif
Barang ini sangat mengecewakan.,Negatif
Kualitasnya lumayan jelek.,Negatif
Paketnya sangat penyok.,Negatif
Kualitasnya agak rusak.,Negatif
Pelayanannya cukup palsu.,Negatif
Barang ini benar-benar penyok.,Negatif
Kualitasnya agak kasar.,Negatif
Kualitasnya cukup jelek.,Negatif
Paketnya sangat mantap.,Positif
Pelayanannya agak rusak.,Negatif
Bahannya agak rapi.,Positif
Barang ini sangat palsu.,Negatif
Paketnya cukup kasar.,Negatif
Pengirimannya benar-benar mantap.,Positif
Barang ini lumayan halus.,Positif
Kualitasnya lumayan buruk.,Negatif
Paketnya agak palsu.,Negatif
Kualitasnya benar-benar original.,Positif
Pelayanannya lumayan lambat.,Negatif
Kualitasnya cukup rusak.,Negatif
Paketnya terlalu mengecewakan.,Negatif
Pengirimannya agak original.,Positif
Paketnya sangat bagus.,Positif
Kualitasnya cukup palsu.,Negatif
Produknya agak lambat.,Negatif
Bahannya agak palsu.,Negatif
Pengirimannya agak oke.,Positif
Paketnya agak rapi.,Positif
Kualitasnya agak mantap.,Positif
Pelayanannya sangat halus.,Positif
Barang ini sangat jelek.,Negatif
Pelayanannya cukup mantap.,Positif
Bahannya agak lambat.,Negatif
Pengirimannya cukup mengecewakan.,Negatif
Pelayanannya terlalu mengecewakan.,Negatif
Barang ini benar-benar halus.,Positif
Kualitasnya sangat mengecewakan.,Negatif
Pelayanannya sangat rusak.,Negatif
Barang ini benar-benar lambat.,Negatif
Barang ini sangat kasar.,Negatif
Barang ini benar-benar rapi.,Positif
Pengirimannya cukup lambat.,Negatif
Pelayanannya terlalu rusak.,Negatif
Bahannya lumayan lambat.,Negatif
Kualitasnya agak memuaskan.,Positif
Produknya cukup rapi.,Positif
Produknya benar-benar kasar.,Negatif
Produknya sangat rusak.,Negatif
Paketnya cukup original.,Positif
Produknya benar-benar kasar.,Negatif
Produknya lumayan cepat.,Positif
Kualitasnya agak memuaskan.,Positif
Paketnya benar-benar buruk.,Negatif
Produknya terlalu mantap.,Positif
Pengirimannya cukup buruk.,Negatif
Kualitasnya benar-benar memuaskan.,Positif
Pelayanannya cukup mantap.,Positif
Bahannya lumayan palsu.,Negatif
Produknya terlalu halus.,Positif
Bahannya lumayan jelek.,Negatif
Paketnya sangat memuaskan.,Positif
Pengirimannya terlalu jelek.,Negatif
Pelayanannya agak rusak.,Negatif
Bahannya cukup lambat.,Negatif
Barang ini agak oke.,Positif
Produknya terlalu rapi.,Positif
Bahannya lumayan jelek.,Negatif
Pelayanannya cukup kasar.,Negatif
Barang ini cukup palsu.,Negatif
Paketnya lumayan mengecewakan.,Negatif
Barang ini sangat cepat.,Positif
Produknya cukup mengecewakan.,Negatif
Paketnya lumayan memuaskan.,Positif
Pelayanannya lumayan memuaskan.,Positif
Paketnya terlalu kasar.,Negatif
Kualitasnya agak original.,Positif
Bahannya terlalu bagus.,Positif
Bahannya sangat halus.,Positif
Bahannya agak rusak.,Negatif
Produknya cukup memuaskan.,Positif
Pengirimannya cukup cepat.,Positif
Pelayanannya benar-benar rusak.,Negatif
Pengirimannya lumayan cepat.,Positif
Pengirimannya cukup lambat.,Negatif
Barang ini agak kasar.,Negatif
Pelayanannya sangat jelek.,Negatif
Paketnya terlalu buruk.,Negatif
Pengirimannya benar-benar cepat.,Positif
Pengirimannya terlalu cepat.,Positif
Pengirimannya agak bagus.,Positif
Pelayanannya cukup keren.,Positif
Kualitasnya agak penyok.,Negatif
Barang ini cukup penyok.,Negatif
Pengirimannya agak lambat.,Negatif
Barang ini lumayan cepat.,Positif
Paketnya benar-benar memuaskan.,Positif
Paketnya sangat penyok.,Negatif
Paketnya lumayan kasar.,Negatif
Barang ini agak rapi.,Positif
Pengirimannya agak rusak.,Negatif
Pengirimannya terlalu keren.,Positif
Barang ini terlalu kasar.,Negatif
Kualitasnya sangat palsu.,Negatif
Pelayanannya terlalu penyok.,Negatif
Produknya terlalu halus.,Positif
Paketnya lumayan penyok.,Negatif
Pelayanannya agak oke.,Positif
Paketnya benar-benar mantap.,Positif
Pengirimannya terlalu kasar.,Negatif
Kualitasnya benar-benar bagus.,Positif
Pengirimannya cukup kasar.,Negatif
Barang ini terlalu bagus.,Positif
Kualitasnya lumayan memuaskan.,Positif
Paketnya agak cepat.,Positif
Pelayanannya lumayan rapi.,Positif
Barang ini sangat kasar.,Negatif
Bahannya sangat jelek.,Negatif
Barang ini terlalu rapi.,Positif
Kualitasnya cukup lambat.,Negatif
Barang ini benar-benar buruk.,Negatif
Pelayanannya agak bagus.,Positif
Kualitasnya cukup lambat.,Negatif
Kualitasnya benar-benar oke.,Positif
Bahannya cukup buruk.,Negatif
Barang ini cukup original.,Positif
Bahannya sangat kasar.,Negatif
Barang ini terlalu bagus.,Positif
Bahannya lumayan rapi.,Positif
Kualitasnya lumayan halus.,Positif
Produknya cukup buruk.,Negatif
Produknya agak penyok.,Negatif
Pelayanannya sangat bagus.,Positif
Paketnya cukup jelek.,Negatif
Paketnya benar-benar rapi.,Positif
Bahannya benar-benar bagus.,Positif
Pengirimannya lumayan palsu.,Negatif
Pelayanannya cukup oke.,Positif
Paketnya benar-benar memuaskan.,Positif
Bahannya terlalu palsu.,Negatif
Produknya cukup bagus.,Positif
Pelayanannya terlalu jelek.,Negatif
Pelayanannya lumayan lambat.,Negatif
Bahannya terlalu original.,Positif
Barang ini agak bagus.,Positif
Bahannya terlalu mantap.,Positif
Paketnya cukup rusak.,Negatif
Produknya sangat cepat.,Positif
Bahannya lumayan penyok.,Negatif
Produknya sangat memuaskan.,Positif
Produknya lumayan palsu.,Negatif
Barang ini cukup bagus.,Positif
Kualitasnya lumayan keren.,Positif
Barang ini cukup jelek.,Negatif
Barang ini cukup penyok.,Negatif
Barang ini sangat mantap.,Positif
Pelayanannya sangat lambat.,Negatif
Kualitasnya terlalu original.,Positif
Kualitasnya terlalu original.,Positif
Paketnya lumayan rapi.,Positif
Barang ini terlalu halus.,Positif
Paketnya cukup cepat.,Positif
Kualitasnya benar-benar penyok.,Negatif
Produknya cukup original.,Positif
Kualitasnya terlalu penyok.,Negatif
Pelayanannya lumayan mengecewakan.,Negatif
Pelayanannya terlalu palsu.,Negatif
Barang ini agak kasar.,Negatif
Produknya sangat buruk.,Negatif
Paketnya lumayan keren.,Positif
Kualitasnya terlalu penyok.,Negatif
Pelayanannya cukup bagus.,Positif
Barang ini terlalu kasar.,Negatif
Produknya lumayan buruk.,Negatif
Pelayanannya sangat kasar.,Negatif
Produknya agak penyok.,Negatif
Kualitasnya terlalu memuaskan.,Positif
Produknya terlalu palsu.,Negatif
Pengirimannya agak penyok.,Negatif
Pelayanannya benar-benar cepat.,Positif
Kualitasnya cukup cepat.,Positif
Kualitasnya terlalu mantap.,Positif
Pelayanannya benar-benar rusak.,Negatif
Barang ini agak rapi.,Positif
Produknya cukup rusak.,Negatif
Bahannya sangat kasar.,Negatif
Pengirimannya cukup original.,Positif
Produknya terlalu penyok.,Negatif
Bahannya cukup keren.,Positif
Produknya terlalu buruk.,Negatif
Bahannya lumayan rusak.,Negatif
Pengirimannya agak rapi.,Positif
Produknya lumayan mantap.,Positif
Bahannya benar-benar palsu.,Negatif
Produknya terlalu mengecewakan.,Negatif
Kualitasnya sangat rusak.,Negatif
Paketnya agak buruk.,Negatif
Pelayanannya benar-benar cepat.,Positif
Kualitasnya cukup keren.,Positif
Barang ini cukup kasar.,Negatif
Pelayanannya sangat mantap.,Positif
Paketnya lumayan mengecewakan.,Negatif
Bahannya sangat mengecewakan.,Negatif
Pelayanannya cukup memuaskan.,Positif
Pengirimannya terlalu buruk.,Negatif
Produknya cukup oke.,Positif
Barang ini lumayan palsu.,Negatif
Pelayanannya lumayan rapi.,Positif
Produknya benar-benar bagus.,Positif
Kualitasnya cukup kasar.,Negatif
Pelayanannya benar-benar halus.,Positif
Produknya benar-benar penyok.,Negatif
Pelayanannya lumayan rusak.,Negatif
Kualitasnya agak kasar.,Negatif
Produknya terlalu keren.,Positif
Kualitasnya lumayan lambat.,Negatif
Paketnya cukup bagus.,Positif
Pelayanannya benar-benar palsu.,Negatif
Pengirimannya cukup memuaskan.,Positif
Bahannya sangat lambat.,Negatif
Bahannya terlalu penyok.,Negatif
Pelayanannya sangat mengecewakan.,Negatif
Barang ini benar-benar mengecewakan.,Negatif
Pengirimannya benar-benar memuaskan.,Positif
Pelayanannya cukup halus.,Positif
Barang ini benar-benar rapi.,Positif
Barang ini sangat original.,Positif
Pengirimannya terlalu rapi.,Positif
Bahannya cukup rapi.,Positif
Pengirimannya lumayan penyok.,Negatif
Produknya benar-benar rusak.,Negatif
Pengirimannya cukup jelek.,Negatif
Bahannya lumayan cepat.,Positif
Paketnya benar-benar rapi.,Positif
Paketnya agak rusak.,Negatif
Pengirimannya lumayan palsu.,Negatif
Bahannya cukup original.,Positif
Paketnya sangat rusak.,Negatif
Pengirimannya benar-benar rusak.,Negatif
Pengirimannya cukup cepat.,Positif
Pengirimannya terlalu rapi.,Positif
Produknya lumayan jelek.,Negatif
Pelayanannya terlalu halus.,Positif
Bahannya lumayan jelek.,Negatif
Paketnya cukup kasar.,Negatif
Pengirimannya cukup oke.,Positif
Produknya lumayan mengecewakan.,Negatif
Bahannya benar-benar halus.,Positif
Produknya terlalu penyok.,Negatif
Bahannya agak halus.,Positif
Pengirimannya terlalu mantap.,Positif
Pengirimannya terlalu lambat.,Negatif
Produknya cukup lambat.,Negatif
Barang ini benar-benar memuaskan.,Positif
Barang ini benar-benar cepat.,Positif
Bahannya benar-benar original.,Positif
Paketnya benar-benar jelek.,Negatif
Kualitasnya benar-benar halus.,Positif
Pengirimannya lumayan mengecewakan.,Negatif
Pengirimannya lumayan jelek.,Negatif
Produknya cukup mengecewakan.,Negatif
Produknya cukup rapi.,Positif
Produknya cukup mantap.,Positif
Bahannya agak buruk.,Negatif
Bahannya lumayan palsu.,Negatif
Produknya agak penyok.,Negatif
Bahannya sangat lambat.,Negatif
Barang ini cukup jelek.,Negatif
Barang ini terlalu rusak.,Negatif
Produknya lumayan palsu.,Negatif
Paketnya cukup rapi.,Positif
Pengirimannya cukup mengecewakan.,Negatif
Paketnya terlalu kasar.,Negatif
Pengirimannya sangat cepat.,Positif
Pengirimannya lumayan buruk.,Negatif
Bahannya terlalu penyok.,Negatif
Paketnya benar-benar jelek.,Negatif
Barang ini sangat oke.,Positif
Paketnya sangat penyok.,Negatif
Bahannya agak mantap.,Positif
Barang ini lumayan bagus.,Positif
Produknya benar-benar halus.,Positif
Bahannya cukup jelek.,Negatif
Pengirimannya sangat penyok.,Negatif
Produknya lumayan cepat.,Positif
Produknya benar-benar kasar.,Negatif
Pelayanannya lumayan penyok.,Negatif
Produknya cukup palsu.,Negatif
Kualitasnya benar-benar memuaskan.,Positif
Produknya sangat penyok.,Negatif
Kualitasnya sangat rusak.,Negatif
Barang ini agak bagus.,Positif
Barang ini terlalu oke.,Positif
Bahannya cukup rusak.,Negatif
Produknya lumayan rusak.,Negatif
Paketnya benar-benar lambat.,Negatif
Pelayanannya sangat rapi.,Positif
Bahannya terlalu rapi.,Positif
Pelayanannya benar-benar mengecewakan.,Negatif
Paketnya lumayan penyok.,Negatif
Kualitasnya benar-benar kasar.,Negatif
Bahannya sangat kasar.,Negatif
Pelayanannya terlalu rusak.,Negatif
Paketnya agak bagus.,Positif
Bahannya sangat penyok.,Negatif
Paketnya lumayan cepat.,Positif
Produknya sangat keren.,Positif
Produknya lumayan memuaskan.,Positif
Bahannya cukup kasar.,Negatif
Pelayanannya terlalu jelek.,Negatif
Produknya agak halus.,Positif
Pengirimannya sangat mengecewakan.,Negatif
Pengirimannya sangat memuaskan.,Positif
Pengirimannya sangat keren.,Positif
Produknya cukup halus.,Positif
Pelayanannya lumayan oke.,Positif
Barang ini agak bagus.,Positif
Paketnya benar-benar oke.,Positif
Barang ini terlalu mengecewakan.,Negatif
Bahannya cukup original.,Positif
Barang ini agak keren.,Positif
Pengirimannya terlalu kasar.,Negatif
Bahannya cukup rapi.,Positif
Pelayanannya benar-benar rusak.,Negatif
Pengirimannya benar-benar keren.,Positif
Produknya agak kasar.,Negatif
Kualitasnya terlalu mengecewakan.,Negatif
Paketnya terlalu jelek.,Negatif
Produknya terlalu original.,Positif
Barang ini terlalu keren.,Positif
Kualitasnya lumayan bagus.,Positif
Produknya agak mantap.,Positif
Kualitasnya cukup oke.,Positif
Produknya terlalu jelek.,Negatif
Pengirimannya lumayan bagus.,Positif
Paketnya sangat lambat.,Negatif
Kualitasnya cukup memuaskan.,Positif
Barang ini cukup rapi.,Positif
Pelayanannya terlalu mengecewakan.,Negatif
Bahannya cukup mantap.,Positif
Pelayanannya benar-benar original.,Positif
Pelayanannya agak oke.,Positif
Paketnya lumayan memuaskan.,Positif
Bahannya sangat penyok.,Negatif
Pengirimannya terlalu original.,Positif
Kualitasnya benar-benar halus.,Positif
Pelayanannya terlalu bagus.,Positif
Paketnya cukup penyok.,Negatif
Pengirimannya sangat kasar.,Negatif
Kualitasnya lumayan original.,Positif
Bahannya benar-benar halus.,Positif
Kualitasnya benar-benar halus.,Positif
Barang ini benar-benar keren.,Positif
Pengirimannya cukup bagus.,Positif
Bahannya sangat lambat.,Negatif
Bahannya terlalu halus.,Positif
Kualitasnya lumayan keren.,Positif
Barang ini terlalu rusak.,Negatif
Barang ini sangat kasar.,Negatif
Kualitasnya cukup cepat.,Positif
Produknya lumayan bagus.,Positif
Pelayanannya agak oke.,Positif
Kualitasnya agak buruk.,Negatif
Paketnya benar-benar original.,Positif
Produknya terlalu memuaskan.,Positif
Barang ini cukup lambat.,Negatif
Pengirimannya agak cepat.,Positif
Barang ini sangat rusak.,Negatif
Paketnya lumayan oke.,Positif
Pengirimannya agak keren.,Positif
Paketnya lumayan oke.,Positif
Pelayanannya cukup keren.,Positif
Produknya benar-benar mantap.,Positif
Barang ini sangat cepat.,Positif
Barang ini terlalu kasar.,Negatif
Bahannya sangat cepat.,Positif
Paketnya benar-benar memuaskan.,Positif
Bahannya agak buruk.,Negatif
Paketnya lumayan keren.,Positif
Barang ini benar-benar oke.,Positif
Barang ini sangat halus.,Positif
Kualitasnya sangat jelek.,Negatif
Bahannya cukup penyok.,Negatif
Barang ini sangat lambat.,Negatif
Kualitasnya lumayan lambat.,Negatif
Pengirimannya cukup rusak.,Negatif
Kualitasnya terlalu halus.,Positif
Bahannya agak original.,Positif
Barang ini agak bagus.,Positif
Barang ini cukup jelek.,Negatif
Pengirimannya cukup palsu.,Negatif
Pelayanannya sangat buruk.,Negatif
Bahannya agak mantap.,Positif
Bahannya cukup rapi.,Positif
Bahannya agak buruk.,Negatif
Pelayanannya sangat original.,Positif
Pelayanannya lumayan buruk.,Negatif
Kualitasnya terlalu jelek.,Negatif
Produknya lumayan buruk.,Negatif
Pengirimannya terlalu jelek.,Negatif
Pelayanannya benar-benar penyok.,Negatif
Barang ini benar-benar oke.,Positif
Barang ini lumayan lambat.,Negatif
Bahannya cukup halus.,Positif
Pengirimannya cukup palsu.,Negatif
Produknya sangat cepat.,Positif
Pengirimannya agak mengecewakan.,Negatif
Paketnya lumayan original.,Positif
Produknya terlalu palsu.,Negatif
Kualitasnya benar-benar buruk.,Negatif
Paketnya agak halus.,Positif
Paketnya lumayan lambat.,Negatif
Barang ini benar-benar oke.,Positif
Pengirimannya benar-benar original.,Positif
Paketnya sangat rusak.,Negatif
Kualitasnya sangat kasar.,Negatif
Barang ini lumayan jelek.,Negatif
Produknya lumayan kasar.,Negatif
Barang ini benar-benar oke.,Positif
Barang ini terlalu penyok.,Negatif
Bahannya lumayan mantap.,Positif
Barang ini sangat penyok.,Negatif
Pengirimannya agak palsu.,Negatif
Pelayanannya terlalu oke.,Positif
Produknya sangat rusak.,Negatif
Pelayanannya cukup bagus.,Positif
Pengirimannya benar-benar oke.,Positif
Barang ini terlalu penyok.,Negatif
Pengirimannya terlalu buruk.,Negatif
Produknya lumayan bagus.,Positif
Kualitasnya lumayan halus.,Positif
Bahannya cukup keren.,Positif
Barang ini benar-benar buruk.,Negatif
Kualitasnya agak halus.,Positif
Pengirimannya sangat palsu.,Negatif
Pengirimannya agak bagus.,Positif
Barang ini cukup penyok.,Negatif
Bahannya lumayan jelek.,Negatif
Pelayanannya terlalu bagus.,Positif
Paketnya sangat oke.,Positif
Produknya sangat mantap.,Positif
Barang ini sangat bagus.,Positif
Produknya sangat kasar.,Negatif
Barang ini lumayan jelek.,Negatif
Barang ini terlalu oke.,Positif
Bahannya agak palsu.,Negatif
Produknya sangat lambat.,Negatif
Paketnya cukup rusak.,Negatif
Bahannya terlalu mantap.,Positif
Barang ini agak palsu.,Negatif
Pengirimannya terlalu keren.,Positif
Bahannya terlalu halus.,Positif
Pengirimannya lumayan halus.,Positif
Pelayanannya sangat jelek.,Negatif
Pelayanannya sangat halus.,Positif
Paketnya terlalu palsu.,Negatif
Pengirimannya benar-benar mantap.,Positif
Produknya sangat penyok.,Negatif
Kualitasnya lumayan penyok.,Negatif
Bahannya cukup memuaskan.,Positif
Pengirimannya sangat keren.,Positif
Produknya agak original.,Positif
Bahannya cukup mantap.,Positif
Paketnya terlalu kasar.,Negatif
Paketnya agak bagus.,Positif
Paketnya sangat bagus.,Positif
Bahannya lumayan kasar.,Negatif
Pengirimannya agak penyok.,Negatif
Produknya terlalu lambat.,Negatif
Pengirimannya lumayan mantap.,Positif
Pengirimannya benar-benar jelek.,Negatif
Produknya agak penyok.,Negatif
Produknya lumayan penyok.,Negatif
Produknya cukup mantap.,Positif
Produknya lumayan bagus.,Positif
Barang ini terlalu mantap.,Positif
Produknya benar-benar oke.,Positif
Bahannya agak penyok.,Negatif
Kualitasnya lumayan penyok.,Negatif
Produknya cukup penyok.,Negatif
Bahannya lumayan mengecewakan.,Negatif
Bahannya lumayan keren.,Positif
Kualitasnya sangat cepat.,Positif
Produknya terlalu lambat.,Negatif
Pengirimannya lumayan bagus.,Positif
Barang ini benar-benar rusak.,Negatif
Paketnya agak penyok.,Negatif
Kualitasnya cukup rusak.,Negatif
Bahannya sangat halus.,Positif
Bahannya benar-benar cepat.,Positif
Bahannya sangat kasar.,Negatif
Kualitasnya cukup rusak.,Negatif
Pelayanannya lumayan penyok.,Negatif
Pengirimannya benar-benar kasar.,Negatif
Produknya cukup halus.,Positif
Kualitasnya agak cepat.,Positif
Produknya lumayan cepat.,Positif
Kualitasnya agak buruk.,Negatif
Kualitasnya benar-benar jelek.,Negatif
Paketnya lumayan jelek.,Negatif
Kualitasnya benar-benar lambat.,Negatif
Bahannya terlalu memuaskan.,Positif
Pelayanannya agak oke.,Positif
Kualitasnya benar-benar jelek.,Negatif
Kualitasnya lumayan mantap.,Positif
Bahannya agak original.,Positif
Pelayanannya cukup penyok.,Negatif
Barang ini cukup penyok.,Negatif
Produknya cukup lambat.,Negatif
Pelayanannya lumayan penyok.,Negatif
Pelayanannya benar-benar original.,Positif
Produknya sangat keren.,Positif
Pengirimannya sangat jelek.,Negatif
Bahannya terlalu keren.,Positif
Pengirimannya lumayan halus.,Positif
Produknya terlalu original.,Positif
Produknya sangat buruk.,Negatif
Paketnya terlalu bagus.,Positif
Produknya sangat lambat.,Negatif
Barang ini terlalu memuaskan.,Positif
Pelayanannya lumayan rapi.,Positif
Kualitasnya benar-benar memuaskan.,Positif
Barang ini lumayan buruk.,Negatif
Kualitasnya agak cepat.,Positif
Pelayanannya sangat memuaskan.,Positif
Kualitasnya terlalu oke.,Positif
Kualitasnya agak keren.,Positif
Pengirimannya agak lambat.,Negatif
Kualitasnya lumayan bagus.,Positif
Bahannya sangat keren.,Positif
Barang ini lumayan lambat.,Negatif
Kualitasnya sangat oke.,Positif
Pengirimannya lumayan jelek.,Negatif
Bahannya lumayan lambat.,Negatif
Kualitasnya agak keren.,Positif
Produknya cukup palsu.,Negatif
Produknya agak memuaskan.,Positif
Bahannya terlalu oke.,Positif
Pelayanannya lumayan jelek.,Negatif
Barang ini cukup jelek.,Negatif
Pelayanannya terlalu memuaskan.,Positif
Pelayanannya cukup rusak.,Negatif
Paketnya sangat original.,Positif
Barang ini agak penyok.,Negatif
Barang ini lumayan bagus.,Positif
Bahannya agak jelek.,Negatif
Paketnya sangat rusak.,Negatif
Bahannya terlalu palsu.,Negatif
Kualitasnya sangat buruk.,Negatif
Pelayanannya agak penyok.,Negatif
Paketnya lumayan mengecewakan.,Negatif
Paketnya sangat keren.,Positif
Pengirimannya sangat rusak.,Negatif
Pelayanannya terlalu memuaskan.,Positif
Barang ini terlalu jelek.,Negatif
Kualitasnya cukup buruk.,Negatif
Bahannya agak keren.,Positif
Produknya benar-benar oke.,Positif
Paketnya terlalu kasar.,Negatif
Paketnya benar-benar jelek.,Negatif
Barang ini sangat mengecewakan.,Negatif
Kualitasnya agak cepat.,Positif
Produknya sangat kasar.,Negatif
Pelayanannya terlalu halus.,Positif
Produknya agak jelek.,Negatif
Pelayanannya benar-benar penyok.,Negatif
Pelayanannya sangat memuaskan.,Positif
Barang ini agak rapi.,Positif
Pelayanannya cukup rapi.,Positif
Bahannya sangat lambat.,Negatif
Pengirimannya terlalu oke.,Positif
Produknya sangat kasar.,Negatif
Produknya agak kasar.,Negatif
Barang ini terlalu jelek.,Negatif
Kualitasnya sangat halus.,Positif
Pelayanannya sangat halus.,Positif
Pelayanannya agak cepat.,Positif
Produknya benar-benar jelek.,Negatif
Pengirimannya lumayan cepat.,Positif
Pengirimannya terlalu cepat.,Positif
Kualitasnya cukup halus.,Positif
Pelayanannya lumayan kasar.,Negatif
